record_id,company_name,registered_country,reg_no,lei,aum_usd_millions,incorporation_date,last_kyc_review,is_real_company,data_source,company_name_clean,company_name_en,company_name_zh,reg_no_normalized,risk_tier,base_risk_score,kyc_refresh_due,days_until_next_review,large_transaction_flag,lei_valid,lei_enhanced,lei_enhanced_valid
KYC000001,PING AN INSURANCE GROUP / 中國平安保險集團,HK,3428730,,28.83,2009-07-09,2025-05-28,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,3428730,中,20,False,899,False,False,,False
KYC000002,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG715913,969500UUCJL5ABCKN917,99.63,2012-08-08,2025-08-13,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,VG715913,高,50,False,611,False,True,969500UUCJL5ABCKN917,True
KYC000003,HANG SENG BANK LIMITED / 恒生銀行有限公司,VG,VG255606,377900JLJ5XTIB0WE131,28.47,2006-09-19,2022-04-18,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,VG255606,高,50,True,0,False,True,377900JLJ5XTIB0WE131,True
KYC000004,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,5812343,377900Y5I3FXYU8BOZ22,829.22,1996-01-25,2024-03-05,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,5812343,中,20,False,450,True,True,377900Y5I3FXYU8BOZ22,True
KYC000005,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,KY,KY257884,254900LG6X5OBPVNK061,267.89,1990-01-06,2025-11-23,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,KY257884,高,60,False,713,False,True,254900LG6X5OBPVNK061,True
KYC000006,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,KY,KY641545,377900H92XBIMMFBSY81,24.26,2024-01-24,2024-05-03,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,KY641545,高,60,False,144,False,True,377900H92XBIMMFBSY81,True
KYC000007,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4811297,254900H6I26CS2TX4O72,104.1,2009-12-09,2025-07-21,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,4811297,中,20,False,953,False,True,254900H6I26CS2TX4O72,True
KYC000008,AGROPECUARIA MIRALINDO S.A.,SG,202448963,969500L61ELPA9BWGW21,45.04,1992-04-20,2025-08-18,True,generated,AGROPECUARIA MIRALINDO S A,AGROPECUARIA MIRALINDO S.A.,,202448963,中,25,False,981,False,True,969500L61ELPA9BWGW21,True
KYC000009,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,18832612,377900G5VMTTEC13UA64,6.82,2004-01-12,2023-03-26,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,18832612,中,20,False,105,False,True,377900G5VMTTEC13UA64,True
KYC000010,STANDARD CHARTERED PLC / 渣打集團有限公司,CN,CN-9598,377900D34PXIT4PW4914,28.99,1991-07-09,2022-09-29,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,CN9598,低,10,False,657,False,True,377900D34PXIT4PW4914,True
KYC000011,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG101214,969500A900PAF6QWJL77,41.98,2016-11-08,2025-10-04,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,VG101214,高,50,False,663,False,True,969500A900PAF6QWJL77,True
KYC000012,BANK OF CHINA LIMITED / 中國銀行股份有限公司,KY,KY260526,2549009NVG68S3QA4910,2.26,2024-05-14,2025-12-05,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,KY260526,高,60,False,725,False,True,2549009NVG68S3QA4910,True
KYC000013,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,15055714,,163.24,1993-06-23,2025-11-13,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,15055714,中,20,False,1068,False,False,,False
KYC000014,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,8310639,377900W4VA0W47V9TM46,35.01,1991-09-22,2025-07-30,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,8310639,中,20,False,962,False,True,377900W4VA0W47V9TM46,True
KYC000015,BANK OF CHINA LIMITED / 中國銀行股份有限公司,SG,200411271,254900HWL5J7NJO2BM88,359.05,1990-12-23,2023-02-21,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,200411271,中,25,False,72,False,True,254900HWL5J7NJO2BM88,True
KYC000016,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,14905466,254900BJMA7BS5GD1610,24.95,2007-11-10,2025-05-25,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,14905466,中,20,False,896,False,True,254900BJMA7BS5GD1610,True
KYC000017,BANK OF CHINA LIMITED / 中國銀行股份有限公司,CN,CN-4148,,33.08,2017-04-05,2024-03-03,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,CN4148,低,10,False,1178,False,False,,False
KYC000018,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY417098,,107.05,1996-10-19,2023-06-17,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,KY417098,高,60,True,0,False,False,,False
KYC000019,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG663978,377900EYMETGTCWUML78,200.51,1996-08-17,2025-08-03,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,VG663978,高,50,False,601,False,True,377900EYMETGTCWUML78,True
KYC000020,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG775356,529900UQOVNA40IX2K61,30.19,2014-10-15,2025-06-27,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,VG775356,高,50,False,564,False,True,529900UQOVNA40IX2K61,True
KYC000021,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,5466752,377900CNNCJ7Q4G6YQ75,36.05,2024-05-05,2024-10-18,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,5466752,中,20,False,677,False,True,377900CNNCJ7Q4G6YQ75,True
KYC000022,HANG SENG BANK LIMITED / 恒生銀行有限公司,CN,CN-2650,254900BQF6HAR66LM293,7.77,2022-11-28,2023-06-05,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,CN2650,低,10,False,906,False,True,254900BQF6HAR66LM293,True
KYC000023,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-3114,2549004FHFISAY9OJ372,20.78,2012-05-09,2025-11-08,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,CN3114,低,10,False,1793,False,True,2549004FHFISAY9OJ372,True
KYC000024,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,15767096,254900VUS875AVW1NA87,12.42,2022-03-30,2022-11-25,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,15767096,中,20,True,0,False,True,254900VUS875AVW1NA87,True
KYC000025,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4329533,969500USC3NHJHF4OI71,29.68,2002-05-29,2025-08-10,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,4329533,中,20,False,973,False,True,969500USC3NHJHF4OI71,True
KYC000026,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG530968,9695006U8CXI3E51PM70,80.47,2021-12-04,2024-09-23,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,VG530968,高,50,False,287,False,True,9695006U8CXI3E51PM70,True
KYC000027,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG557019,213800HIVJ801UN1VU49,573.82,2010-11-06,2024-10-12,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,VG557019,高,50,False,306,True,True,213800HIVJ801UN1VU49,True
KYC000028,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG447475,,12.58,2009-02-11,2025-05-31,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,VG447475,高,50,False,537,False,False,,False
KYC000029,PING AN INSURANCE GROUP / 中國平安保險集團,HK,12772517,,205.3,1997-04-15,2024-04-08,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,12772517,中,20,False,484,False,False,,False
KYC000030,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY242129,254900EXEJZEJ6KFKI67,134.9,1998-07-10,2025-07-09,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,KY242129,高,60,False,576,False,True,254900EXEJZEJ6KFKI67,True
KYC000031,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY630530,969500EFOJ1O1R5D0T52,28.09,1991-02-18,2025-08-25,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,KY630530,高,60,False,623,False,True,969500EFOJ1O1R5D0T52,True
KYC000032,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,11496107,377900BI7AGVLISKDO54,4.1,2017-06-15,2025-06-16,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,11496107,中,20,False,918,False,True,377900BI7AGVLISKDO54,True
KYC000033,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG237034,,128.15,2009-05-06,2025-04-20,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,VG237034,高,50,False,496,False,False,,False
KYC000034,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,9085241,969500G2CHCRXCL28N54,192.56,2002-11-17,2025-10-18,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,9085241,中,20,False,1042,False,True,969500G2CHCRXCL28N54,True
KYC000035,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG174678,,59.85,2024-07-31,2025-08-06,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,VG174678,高,50,False,604,False,False,,False
KYC000036,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG152250,969500006LDFY7HITC67,5.76,2006-02-14,2024-07-30,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,VG152250,高,50,False,232,False,True,969500006LDFY7HITC67,True
KYC000037,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,1150461,213800NTCWLBJXYD9559,4.11,1999-09-21,2023-08-10,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,1150461,中,20,False,242,False,True,213800NTCWLBJXYD9559,True
KYC000038,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,CN,CN-7910,5299003JGNR4K6QEQL78,9.31,2018-06-11,2025-09-29,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,CN7910,低,10,False,1753,False,True,5299003JGNR4K6QEQL78,True
KYC000039,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG747940,529900AARZO9BU2J4H47,18.95,2010-03-17,2025-03-08,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,VG747940,高,50,False,453,False,True,529900AARZO9BU2J4H47,True
KYC000040,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY556154,52990003K4TUDFPV0Z21,9.12,2018-10-13,2023-11-19,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,KY556154,高,60,True,0,False,True,52990003K4TUDFPV0Z21,True
KYC000041,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG600670,,3.89,2001-05-06,2024-11-17,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,VG600670,高,50,False,342,False,False,,False
KYC000042,PING AN INSURANCE GROUP / 中國平安保險集團,HK,5567843,,55.42,2005-08-19,2025-05-29,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,5567843,中,20,False,900,False,False,,False
KYC000043,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY875682,377900LH3R976FMDEA71,5.46,2017-12-19,2022-06-27,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,KY875682,高,60,True,0,False,True,377900LH3R976FMDEA71,True
KYC000044,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4077926,5299009IX7L7L5NQML25,16.97,2005-12-23,2025-10-19,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,4077926,中,20,False,1043,False,True,5299009IX7L7L5NQML25,True
KYC000045,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,2062709,,44.14,2014-02-28,2024-12-13,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,2062709,中,20,False,733,False,False,,False
KYC000046,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,16974850,9695005YMQNGSVA5WV19,10.3,2016-06-29,2025-10-18,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,16974850,中,20,False,1042,False,True,9695005YMQNGSVA5WV19,True
KYC000047,AIA GROUP LIMITED / 友邦保險控股有限公司,SG,201754152,254900PJE5Z5Q7HA2Y20,3.18,2009-09-10,2025-06-24,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,201754152,中,25,False,926,False,True,254900PJE5Z5Q7HA2Y20,True
KYC000048,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,8106307,969500VE603OPG89T638,157.65,2012-12-01,2025-06-27,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,8106307,中,20,False,929,False,True,969500VE603OPG89T638,True
KYC000049,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,17009025,,26.65,2010-07-23,2025-11-15,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,17009025,中,20,False,1070,False,False,,False
KYC000050,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG545203,213800D749TX7092UE65,1.2,2016-07-11,2025-03-17,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,VG545203,高,50,False,462,False,True,213800D749TX7092UE65,True
KYC000051,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-5824,,54.59,2019-12-09,2025-08-10,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,CN5824,低,10,False,1703,False,False,,False
KYC000052,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,13765388,969500453YGBA0U63E86,28.14,2019-05-24,2024-06-26,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,13765388,中,20,False,563,False,True,969500453YGBA0U63E86,True
KYC000053,HANG SENG BANK LIMITED / 恒生銀行有限公司,KY,KY482599,529900EMPWHK44BNUQ93,109.28,2002-01-18,2024-09-15,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,KY482599,高,60,False,279,False,True,529900EMPWHK44BNUQ93,True
KYC000054,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY758726,2549007ADW114BRUWT66,33.0,2009-01-14,2025-11-10,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,KY758726,高,60,False,700,False,True,2549007ADW114BRUWT66,True
KYC000055,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY904882,,10.34,2010-12-27,2024-10-23,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,KY904882,高,60,False,317,False,False,,False
KYC000056,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,14342627,96950080KNYFXLY51194,13.62,1995-08-20,2025-11-15,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,14342627,中,20,False,1070,False,True,96950080KNYFXLY51194,True
KYC000057,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG280588,2549000IBRGWBGAG3X86,27.77,1999-10-19,2024-04-05,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,VG280588,高,50,False,116,False,True,2549000IBRGWBGAG3X86,True
KYC000058,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,10330078,2549009TCZ22IA0SRL58,1.35,2001-08-04,2025-11-26,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,10330078,中,20,False,1081,False,True,2549009TCZ22IA0SRL58,True
KYC000059,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY889792,,285.19,2002-08-21,2025-11-21,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,KY889792,高,60,False,711,False,False,,False
KYC000060,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY387905,529900VTT4Y7XQLJOA41,441.58,2009-07-09,2025-09-23,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,KY387905,高,60,False,652,False,True,529900VTT4Y7XQLJOA41,True
KYC000061,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG881918,377900ZIBLR2FL37VC45,12.66,2013-05-01,2025-08-28,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,VG881918,高,50,False,626,False,True,377900ZIBLR2FL37VC45,True
KYC000062,BANK OF CHINA LIMITED / 中國銀行股份有限公司,KY,KY414725,,115.72,1999-08-26,2023-11-12,True,generated,BANK OF CHINA 中國銀行股份有限公司,BANK OF CHINA LIMITED,中國銀行股份有限公司,KY414725,高,60,True,0,False,False,,False
KYC000063,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY817489,,24.31,1999-08-11,2024-12-09,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,KY817489,高,60,False,364,False,False,,False
KYC000064,HANG SENG BANK LIMITED / 恒生銀行有限公司,VG,VG796248,969500MMESGCY8MRMK66,164.63,2012-05-07,2025-07-19,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,VG796248,高,50,False,586,False,True,969500MMESGCY8MRMK66,True
KYC000065,PING AN INSURANCE GROUP / 中國平安保險集團,HK,11834050,377900JNX4C5S7I0MA26,214.91,1995-03-12,2024-11-21,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,11834050,中,20,False,711,False,True,377900JNX4C5S7I0MA26,True
KYC000066,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,CN,CN-4254,969500W1K8UP9P1R9V87,12.68,2002-04-15,2024-07-21,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,CN4254,低,10,False,1318,False,True,969500W1K8UP9P1R9V87,True
KYC000067,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,CN,CN-8215,213800A2YJRHB03IHL16,171.37,2015-07-20,2025-11-30,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,CN8215,低,10,False,1815,False,True,213800A2YJRHB03IHL16,True
KYC000068,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG836888,529900IE322P8Z1P0384,28.75,2011-11-02,2024-07-18,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,VG836888,高,50,False,220,False,True,529900IE322P8Z1P0384,True
KYC000069,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,6762958,9695007OVVLQD4WYLK16,7.01,2018-05-26,2025-04-08,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,6762958,中,20,False,849,False,True,9695007OVVLQD4WYLK16,True
KYC000070,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,13837550,969500LLWOJXM4S9PO27,18.83,2008-11-13,2025-05-27,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,13837550,中,20,False,898,False,True,969500LLWOJXM4S9PO27,True
KYC000071,HANG SENG BANK LIMITED / 恒生銀行有限公司,CN,CN-2689,2138002A75WKC70HNI34,89.63,2009-12-28,2024-08-04,True,generated,HANG SENG BANK 恒生銀行有限公司,HANG SENG BANK LIMITED,恒生銀行有限公司,CN2689,低,10,False,1332,False,True,2138002A75WKC70HNI34,True
KYC000072,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,11587306,529900FHWZFPEEW45934,9.21,2007-08-01,2022-02-10,True,generated,TENCENT 騰訊控股有限公司,TENCENT HOLDINGS LIMITED,騰訊控股有限公司,11587306,中,20,True,0,False,True,529900FHWZFPEEW45934,True
KYC000073,PING AN INSURANCE GROUP / 中國平安保險集團,SG,202013999,377900DD87FQILREUQ60,58.5,2003-06-06,2024-06-24,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,202013999,中,25,False,561,False,True,377900DD87FQILREUQ60,True
KYC000074,PING AN INSURANCE GROUP / 中國平安保險集團,HK,9417067,969500RM1FEFEE92RP08,690.91,2002-01-07,2025-10-23,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,9417067,中,20,False,1047,True,True,969500RM1FEFEE92RP08,True
KYC000075,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG612369,21380045OJFG2CFCMZ25,3.27,1998-08-16,2023-04-26,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,VG612369,高,50,True,0,False,True,21380045OJFG2CFCMZ25,True
KYC000076,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,11286488,,135.34,2010-07-31,2020-05-19,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,11286488,中,20,True,0,False,False,,False
KYC000077,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,KY,KY787924,,134.45,2007-09-07,2025-06-25,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,KY787924,高,60,False,562,False,False,,False
KYC000078,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,14369095,529900VEZ60PRQYDJA71,12.39,2010-01-29,2025-10-03,True,generated,HSBC PUBLIC 滙豐控股有限公司,HSBC HOLDINGS PLC,滙豐控股有限公司,14369095,中,20,False,1027,False,True,529900VEZ60PRQYDJA71,True
KYC000079,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,HK,17247589,213800FGA8MXLMK5AZ33,5.07,2014-01-21,2025-02-01,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,17247589,中,20,False,783,False,True,213800FGA8MXLMK5AZ33,True
KYC000080,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,18442773,254900GZCKFY4GAUWK48,74.86,1997-03-14,2023-08-30,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,18442773,中,20,False,262,False,True,254900GZCKFY4GAUWK48,True
KYC000081,PING AN INSURANCE GROUP / 中國平安保險集團,HK,19789051,,2.2,1997-03-02,2024-08-12,True,generated,PING AN INSURANCE 中國平安保險集團,PING AN INSURANCE GROUP,中國平安保險集團,19789051,中,20,False,610,False,False,,False
KYC000082,STANDARD CHARTERED PLC / 渣打集團有限公司,CN,CN-5221,2138002PZF2AGVNFLI86,361.8,1995-01-08,2023-03-09,True,generated,STANDARD CHARTERED PUBLIC 渣打集團有限公司,STANDARD CHARTERED PLC,渣打集團有限公司,CN5221,低,10,False,818,False,True,2138002PZF2AGVNFLI86,True
KYC000083,AIA GROUP LIMITED / 友邦保險控股有限公司,SG,201813841,529900V8H8WL6W2FV057,2.95,2005-07-09,2022-05-30,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,201813841,中,25,True,0,False,True,529900V8H8WL6W2FV057,True
KYC000084,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG496582,213800IWADLY9ZHL7G82,27.94,2010-01-18,2024-08-28,True,generated,ALIBABA HOLDING 阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LIMITED,阿里巴巴集團控股有限公司,VG496582,高,50,False,261,False,True,213800IWADLY9ZHL7G82,True
KYC000085,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,11230712,5299006M0GBJ4IHWN113,78.76,2016-10-05,2025-10-04,True,generated,AIA 友邦保險控股有限公司,AIA GROUP LIMITED,友邦保險控股有限公司,11230712,中,20,False,1028,False,True,5299006M0GBJ4IHWN113,True
