record_id,company_name,registered_country,reg_no,lei,aum_usd_millions,incorporation_date,last_kyc_review,is_real_company,data_source
KYC000001,PING AN INSURANCE GROUP / 中國平安保險集團,HK,3428730,,28.83,2009-07-09,2025-05-28,True,generated
KYC000002,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG715913,969500UUCJL5ABCKN917,99.63,2012-08-08,2025-08-13,True,generated
KYC000003,HANG SENG BANK LIMITED / 恒生銀行有限公司,VG,VG255606,377900JLJ5XTIB0WE131,28.47,2006-09-19,2022-04-18,True,generated
KYC000004,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,5812343,377900Y5I3FXYU8BOZ22,829.22,1996-01-25,2024-03-05,True,generated
KYC000005,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,KY,KY257884,254900LG6X5OBPVNK061,267.89,1990-01-06,2025-11-23,True,generated
KYC000006,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,KY,KY641545,377900H92XBIMMFBSY81,24.26,2024-01-24,2024-05-03,True,generated
KYC000007,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4811297,254900H6I26CS2TX4O72,104.1,2009-12-09,2025-07-21,True,generated
KYC000008,AGROPECUARIA MIRALINDO S.A.,SG,202448963,969500L61ELPA9BWGW21,45.04,1992-04-20,2025-08-18,True,generated
KYC000009,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,18832612,377900G5VMTTEC13UA64,6.82,2004-01-12,2023-03-26,True,generated
KYC000010,STANDARD CHARTERED PLC / 渣打集團有限公司,CN,CN-9598,377900D34PXIT4PW4914,28.99,1991-07-09,2022-09-29,True,generated
KYC000011,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG101214,969500A900PAF6QWJL77,41.98,2016-11-08,2025-10-04,True,generated
KYC000012,BANK OF CHINA LIMITED / 中國銀行股份有限公司,KY,KY260526,2549009NVG68S3QA4910,2.26,2024-05-14,2025-12-05,True,generated
KYC000013,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,15055714,,163.24,1993-06-23,2025-11-13,True,generated
KYC000014,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,8310639,377900W4VA0W47V9TM46,35.01,1991-09-22,2025-07-30,True,generated
KYC000015,BANK OF CHINA LIMITED / 中國銀行股份有限公司,SG,200411271,254900HWL5J7NJO2BM88,359.05,1990-12-23,2023-02-21,True,generated
KYC000016,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,14905466,254900BJMA7BS5GD1610,24.95,2007-11-10,2025-05-25,True,generated
KYC000017,BANK OF CHINA LIMITED / 中國銀行股份有限公司,CN,CN-4148,,33.08,2017-04-05,2024-03-03,True,generated
KYC000018,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY417098,,107.05,1996-10-19,2023-06-17,True,generated
KYC000019,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG663978,377900EYMETGTCWUML78,200.51,1996-08-17,2025-08-03,True,generated
KYC000020,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG775356,529900UQOVNA40IX2K61,30.19,2014-10-15,2025-06-27,True,generated
KYC000021,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,5466752,377900CNNCJ7Q4G6YQ75,36.05,2024-05-05,2024-10-18,True,generated
KYC000022,HANG SENG BANK LIMITED / 恒生銀行有限公司,CN,CN-2650,254900BQF6HAR66LM293,7.77,2022-11-28,2023-06-05,True,generated
KYC000023,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-3114,2549004FHFISAY9OJ372,20.78,2012-05-09,2025-11-08,True,generated
KYC000024,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,15767096,254900VUS875AVW1NA87,12.42,2022-03-30,2022-11-25,True,generated
KYC000025,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4329533,969500USC3NHJHF4OI71,29.68,2002-05-29,2025-08-10,True,generated
KYC000026,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG530968,9695006U8CXI3E51PM70,80.47,2021-12-04,2024-09-23,True,generated
KYC000027,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG557019,213800HIVJ801UN1VU49,573.82,2010-11-06,2024-10-12,True,generated
KYC000028,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG447475,,12.58,2009-02-11,2025-05-31,True,generated
KYC000029,PING AN INSURANCE GROUP / 中國平安保險集團,HK,12772517,,205.3,1997-04-15,2024-04-08,True,generated
KYC000030,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY242129,254900EXEJZEJ6KFKI67,134.9,1998-07-10,2025-07-09,True,generated
KYC000031,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY630530,969500EFOJ1O1R5D0T52,28.09,1991-02-18,2025-08-25,True,generated
KYC000032,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,11496107,377900BI7AGVLISKDO54,4.1,2017-06-15,2025-06-16,True,generated
KYC000033,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG237034,,128.15,2009-05-06,2025-04-20,True,generated
KYC000034,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,9085241,969500G2CHCRXCL28N54,192.56,2002-11-17,2025-10-18,True,generated
KYC000035,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG174678,,59.85,2024-07-31,2025-08-06,True,generated
KYC000036,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG152250,969500006LDFY7HITC67,5.76,2006-02-14,2024-07-30,True,generated
KYC000037,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,1150461,213800NTCWLBJXYD9559,4.11,1999-09-21,2023-08-10,True,generated
KYC000038,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,CN,CN-7910,5299003JGNR4K6QEQL78,9.31,2018-06-11,2025-09-29,True,generated
KYC000039,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG747940,529900AARZO9BU2J4H47,18.95,2010-03-17,2025-03-08,True,generated
KYC000040,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY556154,52990003K4TUDFPV0Z21,9.12,2018-10-13,2023-11-19,True,generated
KYC000041,PING AN INSURANCE GROUP / 中國平安保險集團,VG,VG600670,,3.89,2001-05-06,2024-11-17,True,generated
KYC000042,PING AN INSURANCE GROUP / 中國平安保險集團,HK,5567843,,55.42,2005-08-19,2025-05-29,True,generated
KYC000043,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY875682,377900LH3R976FMDEA71,5.46,2017-12-19,2022-06-27,True,generated
KYC000044,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,4077926,5299009IX7L7L5NQML25,16.97,2005-12-23,2025-10-19,True,generated
KYC000045,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,2062709,,44.14,2014-02-28,2024-12-13,True,generated
KYC000046,HANG SENG BANK LIMITED / 恒生銀行有限公司,HK,16974850,9695005YMQNGSVA5WV19,10.3,2016-06-29,2025-10-18,True,generated
KYC000047,AIA GROUP LIMITED / 友邦保險控股有限公司,SG,201754152,254900PJE5Z5Q7HA2Y20,3.18,2009-09-10,2025-06-24,True,generated
KYC000048,BANK OF CHINA LIMITED / 中國銀行股份有限公司,HK,8106307,969500VE603OPG89T638,157.65,2012-12-01,2025-06-27,True,generated
KYC000049,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,17009025,,26.65,2010-07-23,2025-11-15,True,generated
KYC000050,BANK OF CHINA LIMITED / 中國銀行股份有限公司,VG,VG545203,213800D749TX7092UE65,1.2,2016-07-11,2025-03-17,True,generated
KYC000051,HSBC HOLDINGS PLC / 滙豐控股有限公司,CN,CN-5824,,54.59,2019-12-09,2025-08-10,True,generated
KYC000052,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,13765388,969500453YGBA0U63E86,28.14,2019-05-24,2024-06-26,True,generated
KYC000053,HANG SENG BANK LIMITED / 恒生銀行有限公司,KY,KY482599,529900EMPWHK44BNUQ93,109.28,2002-01-18,2024-09-15,True,generated
KYC000054,STANDARD CHARTERED PLC / 渣打集團有限公司,KY,KY758726,2549007ADW114BRUWT66,33.0,2009-01-14,2025-11-10,True,generated
KYC000055,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY904882,,10.34,2010-12-27,2024-10-23,True,generated
KYC000056,HSBC HOLDINGS PLC / 滙豐控股有限公司,HK,14342627,96950080KNYFXLY51194,13.62,1995-08-20,2025-11-15,True,generated
KYC000057,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,VG,VG280588,2549000IBRGWBGAG3X86,27.77,1999-10-19,2024-04-05,True,generated
KYC000058,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,10330078,2549009TCZ22IA0SRL58,1.35,2001-08-04,2025-11-26,True,generated
KYC000059,AIA GROUP LIMITED / 友邦保險控股有限公司,KY,KY889792,,285.19,2002-08-21,2025-11-21,True,generated
KYC000060,PING AN INSURANCE GROUP / 中國平安保險集團,KY,KY387905,529900VTT4Y7XQLJOA41,441.58,2009-07-09,2025-09-23,True,generated
KYC000061,STANDARD CHARTERED PLC / 渣打集團有限公司,VG,VG881918,377900ZIBLR2FL37VC45,12.66,2013-05-01,2025-08-28,True,generated
KYC000062,BANK OF CHINA LIMITED / 中國銀行股份有限公司,KY,KY414725,,115.72,1999-08-26,2023-11-12,True,generated
KYC000063,HSBC HOLDINGS PLC / 滙豐控股有限公司,KY,KY817489,,24.31,1999-08-11,2024-12-09,True,generated
KYC000064,HANG SENG BANK LIMITED / 恒生銀行有限公司,VG,VG796248,969500MMESGCY8MRMK66,164.63,2012-05-07,2025-07-19,True,generated
KYC000065,PING AN INSURANCE GROUP / 中國平安保險集團,HK,11834050,377900JNX4C5S7I0MA26,214.91,1995-03-12,2024-11-21,True,generated
KYC000066,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,CN,CN-4254,969500W1K8UP9P1R9V87,12.68,2002-04-15,2024-07-21,True,generated
KYC000067,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,CN,CN-8215,213800A2YJRHB03IHL16,171.37,2015-07-20,2025-11-30,True,generated
KYC000068,AIA GROUP LIMITED / 友邦保險控股有限公司,VG,VG836888,529900IE322P8Z1P0384,28.75,2011-11-02,2024-07-18,True,generated
KYC000069,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,6762958,9695007OVVLQD4WYLK16,7.01,2018-05-26,2025-04-08,True,generated
KYC000070,STANDARD CHARTERED PLC / 渣打集團有限公司,HK,13837550,969500LLWOJXM4S9PO27,18.83,2008-11-13,2025-05-27,True,generated
KYC000071,HANG SENG BANK LIMITED / 恒生銀行有限公司,CN,CN-2689,2138002A75WKC70HNI34,89.63,2009-12-28,2024-08-04,True,generated
KYC000072,TENCENT HOLDINGS LIMITED / 騰訊控股有限公司,HK,11587306,529900FHWZFPEEW45934,9.21,2007-08-01,2022-02-10,True,generated
KYC000073,PING AN INSURANCE GROUP / 中國平安保險集團,SG,202013999,377900DD87FQILREUQ60,58.5,2003-06-06,2024-06-24,True,generated
KYC000074,PING AN INSURANCE GROUP / 中國平安保險集團,HK,9417067,969500RM1FEFEE92RP08,690.91,2002-01-07,2025-10-23,True,generated
KYC000075,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,VG,VG612369,21380045OJFG2CFCMZ25,3.27,1998-08-16,2023-04-26,True,generated
KYC000076,AIA GROUP LIMITED / 友邦保險控股有限公司,HK,11286488,,135.34,2010-07-31,2020-05-19,True,generated
KYC000077,ALIBABA GROUP HOLDING LIMITED / 阿里巴巴集團控股有限公司,KY,KY787924,,134.45,2007-09-07,2025-06-25,True,generated
